year,region,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
1990,egoa,30060,2,19,40.68222222222222,0.9512199768951685,39.23,2.18
1990,egoa,30060,2,20,40.09875,1.838022520458953,40.42,2.1
1990,egoa,30060,2,21,40.75111111111111,1.4811097566051976,38,0
1990,egoa,30060,2,22,38.68888888888889,1.5216146394902725,40.38,1
1990,egoa,30060,2,23,41.61714285714286,1.9588577818524269,35,0
1990,egoa,30060,2,24,41.128888888888895,2.03247044532291,40.15,1.99
1990,egoa,30060,2,25,40.055,2.29917997804186,40.8,1.95
1990,egoa,30060,2,26,41.9025,2.0214545682326306,44.8,1.08
1990,egoa,30060,2,27,41.64,1.4569402870399317,42.21,0.41
1990,egoa,30060,2,28,41.07375,2.3224429102625046,41,0
1990,egoa,30060,2,29,40.90375,0.5691331127249591,38.43,1.54
1990,egoa,30060,2,30,41.05,0.8374166625203174,40,0
1990,egoa,30060,2,31,41.43285714285714,1.4167652626754406,41,0
1990,egoa,30060,2,32,41.43142857142857,1.4202162813157322,41.32,0.47
1990,egoa,30060,2,33,40.80428571428571,0.9907044150982867,NA,NA
1990,egoa,30060,2,34,41.056666666666665,0.8786210787364489,42,0
1990,egoa,30060,2,35,41.674,1.8669773550968538,40.13,1.36
1990,egoa,30060,2,36,41.147499999999994,0.731529708409517,41.28,0.55
1990,egoa,30060,2,37,42.081250000000004,2.690174914653055,41.23,0.63
1990,egoa,30060,2,38,42.31875,2.343607948076153,42.28,3
1990,egoa,30060,2,39,41.79125,1.5510958108014197,45.03,1.66
1990,egoa,30060,2,40,42.622,2.073010693009888,40.7,0.96
1990,egoa,30060,2,41,42.19,1.4130198158553897,NA,NA
1990,egoa,30060,2,42,41.40571428571429,2.6417598751770073,40,0
1990,egoa,30060,2,43,41.0875,1.2150000000000014,42,0
1990,egoa,30060,2,44,41.41857142857142,1.0595034776005319,41,0
1990,egoa,30060,2,45,43.36857142857143,2.495078011949584,40.75,2.8
1990,egoa,30060,2,46,39.75833333333333,0.7552593373581468,NA,NA
1990,egoa,30060,2,47,42.305,1.8509862236116184,44,0
1990,egoa,30060,2,48,43.121428571428574,2.0175846002206748,46,0
1990,egoa,30060,2,49,44.75,2.0615528128088303,NA,NA
1990,egoa,30060,2,50,39,NA,NA,NA
1990,egoa,30060,2,51,42.345,0.36062445840513785,NA,NA
1990,egoa,30060,2,52,42.17,NA,42.45,0.72
1990,egoa,30060,2,53,42.10333333333333,1.1899859943153395,NA,NA
1990,egoa,30060,2,54,41.666666666666664,1.3662601021279464,NA,NA
1990,egoa,30060,2,55,44,NA,NA,NA
1990,egoa,30060,2,56,43.5,0.7071067811865476,NA,NA
1990,egoa,30060,2,57,45.5,2.1213203435596424,NA,NA
1990,egoa,30060,2,58,42,0,NA,NA
1990,egoa,30060,2,60,41.838,1.5925514120429525,NA,NA
1990,egoa,30060,2,61,41.4,0.5477225575051661,40.38,1
1990,egoa,30060,2,63,41.21,1.4081477195237715,NA,NA
1990,egoa,30060,2,64,44,NA,NA,NA
1990,egoa,30060,2,66,43.6,2.1908902300206643,NA,NA
1990,egoa,30060,2,73,42.548,1.010702725829904,NA,NA
1990,egoa,30060,3,1,14,NA,NA,NA
1990,egoa,30060,3,2,19.980000000000004,2.198681423035179,17.36,1.46
1990,egoa,30060,3,3,19.969999999999995,0.7330586606813946,19.29,1.24
1990,egoa,30060,3,4,22.56222222222222,0.5219860577107829,23.26,1.55
1990,egoa,30060,3,5,23.95888888888889,0.7732147897648574,23.78,2.25
1990,egoa,30060,3,6,24.46777777777778,1.3574219846622655,25.19,1.82
1990,egoa,30060,3,7,25.883333333333336,0.9067110895980045,26.54,1.35
1990,egoa,30060,3,8,25.94333333333334,1.2117033465333005,25.56,1.61
1990,egoa,30060,3,9,27.156666666666666,2.1179058052708575,29.36,4.25
1990,egoa,30060,3,10,30.8,4.465240355072885,32.11,4.35
1990,egoa,30060,3,11,33.55285714285714,4.342548077974936,37,0
1990,egoa,30060,3,12,34.93666666666667,2.8452111813829677,37,0
1990,egoa,30060,3,13,34.895714285714284,4.161665760817645,37,0
1990,egoa,30060,3,14,37,0,37,0
1990,egoa,30060,3,15,37,0,37,0
1990,egoa,30060,3,16,37,0,37,0
1990,egoa,30060,3,17,37,0,37,0
1990,egoa,30060,3,18,37,0,NA,NA
1990,egoa,30060,3,19,37,0,37,0
1990,egoa,30060,3,20,37,0,37,0
1990,egoa,30060,3,21,37,NA,37,0
1990,egoa,30060,3,22,37,NA,NA,NA
1990,egoa,30060,3,23,37,NA,37,0
1990,egoa,30060,3,24,37,0,NA,NA
1990,egoa,30060,3,25,37,0,NA,NA
1990,egoa,30060,3,26,37,NA,NA,NA
1990,egoa,30060,3,27,37,NA,NA,NA
1990,egoa,30060,3,28,37,NA,NA,NA
1990,egoa,30060,3,29,37,NA,37,0
1990,egoa,30060,3,30,37,NA,NA,NA
1990,egoa,30060,3,45,37,NA,NA,NA
1990,egoa,30060,3,46,37,0,NA,NA
1990,egoa,30060,3,47,37,NA,NA,NA
1990,egoa,30060,3,48,37,NA,NA,NA
1990,egoa,30060,3,50,37,NA,NA,NA
1990,egoa,30060,3,58,37,0,NA,NA
1990,egoa,30060,4,1,14.5,0.7071067811865476,NA,NA
1990,egoa,30060,4,2,19.847637495655412,1.8427276583849284,16.970800395109027,1.3384840684257
1990,egoa,30060,4,3,21.63941320150323,0.9370971225583722,19.591134385781995,1.424262622195955
1990,egoa,30060,4,4,24.02561630988481,0.6157461136385871,24.187986713918377,1.6472656895595326
1990,egoa,30060,4,5,26.704949807513678,0.7199736057565541,26.312551109936514,1.7801692272350407
1990,egoa,30060,4,6,28.573353660277842,0.8863661352901638,28.577125088844966,2.466828788495837
1990,egoa,30060,4,7,30.3593959220094,0.8072411810052623,30.732631798088715,2.906607701744132
1990,egoa,30060,4,8,32.51401023509346,0.8009981540855163,32.01131531977414,3.1746822640110333
